"Sale_Price","Gr_Liv_Area","Mas_Vnr_Area","Age_Remodel","Bedroom_AbvGr","Total_Bsmt_SF","Garage_Cars","Full_Bath","Fireplaces","Bldg_Type"
275000,1698,615,5,3,1698,3,2,1,"OneFam"
259000,1822,240,4,3,1822,3,2,1,"OneFam"
214000,1535,168,6,3,1517,2,2,0,"OneFam"
611657,2364,760,0,2,2330,3,2,2,"OneFam"
224000,1358,128,0,2,1358,2,2,1,"TwnhsE"
500000,2696,1095,6,3,2846,3,2,2,"OneFam"
320000,2250,232,8,3,1671,3,2,1,"OneFam"
319900,1752,412,5,2,1752,2,2,1,"TwnhsE"
205000,1370,178,4,2,1370,2,2,1,"TwnhsE"
175500,1626,106,7,2,764,2,2,0,"Twnhs"
199500,1324,0,5,3,1324,2,2,0,"OneFam"
160000,1145,14,4,2,1145,2,2,0,"TwnhsE"
192000,1269,16,5,2,1256,2,2,1,"TwnhsE"
184500,1374,0,6,3,384,2,2,1,"OneFam"
216500,1960,0,8,4,860,2,2,2,"OneFam"
185088,1733,0,6,3,847,2,2,1,"OneFam"
180000,1430,0,10,3,384,2,2,1,"OneFam"
222500,2035,180,9,3,884,2,2,1,"OneFam"
333168,2599,165,11,4,1393,3,2,1,"OneFam"
355000,2475,114,12,4,1629,3,2,1,"OneFam"
260400,1720,338,14,3,1720,2,2,1,"OneFam"
325000,2622,362,15,3,1463,2,2,2,"OneFam"
290000,2270,348,3,4,1152,3,2,1,"OneFam"
221000,1839,30,12,4,1195,2,2,0,"OneFam"
410000,3238,579,14,4,2033,3,2,1,"OneFam"
221500,1595,226,4,2,1595,3,2,1,"OneFam"
204500,1218,0,0,2,1218,2,2,0,"OneFam"
215200,1547,0,1,3,756,2,2,0,"OneFam"
262500,1566,36,2,3,1566,2,2,0,"OneFam"
254900,1947,0,5,3,991,2,2,1,"OneFam"
271500,1468,0,5,2,1468,2,2,1,"OneFam"
233000,2084,0,6,4,956,2,2,0,"OneFam"
181000,1659,122,6,3,831,2,2,0,"OneFam"
205000,2110,0,8,3,948,2,2,2,"OneFam"
143000,923,0,30,2,923,1,2,1,"TwnhsE"
189000,1845,0,18,3,1055,2,2,1,"OneFam"
99500,918,0,31,2,918,1,2,1,"TwnhsE"
125000,752,0,26,2,744,1,1,0,"TwnhsE"
194500,1744,0,7,3,996,2,2,0,"OneFam"
152000,1097,0,25,3,1040,2,2,0,"OneFam"
171000,1564,130,29,3,650,2,2,1,"OneFam"
67500,1012,0,60,2,816,1,1,0,"OneFam"
112000,1902,0,32,4,0,2,2,0,"Duplex"
148000,1155,0,15,3,1109,2,1,0,"OneFam"
138500,894,0,1,3,894,1,1,1,"OneFam"
122000,900,31,43,3,882,1,1,0,"OneFam"
133000,1040,0,47,3,1040,1,1,0,"OneFam"
127000,1040,0,0,3,1040,1,1,0,"OneFam"
169000,1494,250,8,3,1208,2,2,2,"OneFam"
190000,1923,0,18,3,750,2,2,1,"OneFam"
362500,2349,504,17,4,1231,3,2,1,"OneFam"
285000,2225,180,17,4,1390,3,2,1,"OneFam"
260000,1488,0,5,2,1488,2,2,1,"TwnhsE"
190000,1680,0,6,2,840,2,2,0,"TwnhsE"
155000,1200,120,6,2,600,2,2,0,"TwnhsE"
151000,1200,0,5,2,600,2,2,0,"TwnhsE"
149500,1200,0,5,2,600,2,2,0,"Twnhs"
152000,1236,216,5,2,600,2,2,0,"Twnhs"
222000,1478,432,1,2,1470,2,2,1,"OneFam"
177500,1573,216,10,3,756,2,2,0,"Twnhs"
177000,1512,1159,10,2,756,2,2,0,"TwnhsE"
155000,1416,0,11,3,696,2,2,0,"Twnhs"
147110,1080,0,7,2,530,2,2,0,"TwnhsE"
267916,1418,0,0,1,1642,3,1,1,"OneFam"
254000,1848,0,10,3,975,2,2,1,"OneFam"
155000,788,0,30,1,728,2,1,1,"TwnhsE"
206000,1226,0,32,1,1226,2,1,1,"Twnhs"
130500,1479,289,5,3,725,2,2,0,"OneFam"
230000,1492,0,8,3,1492,2,2,1,"OneFam"
218500,1829,120,43,4,1829,2,2,0,"OneFam"
243500,2495,0,17,4,1280,2,2,1,"OneFam"
205000,1610,28,9,3,1610,2,2,2,"OneFam"
212500,1891,0,32,3,1224,2,3,1,"OneFam"
196500,1714,42,22,3,980,2,2,1,"OneFam"
197500,1381,0,4,3,1161,2,1,1,"OneFam"
171000,1645,0,39,4,715,2,1,0,"OneFam"
142250,1232,172,44,3,1232,2,1,0,"OneFam"
143000,1328,451,47,3,1328,2,1,2,"OneFam"
128950,1225,0,51,3,950,0,1,0,"OneFam"
159000,1209,0,44,3,1209,2,1,0,"OneFam"
178900,1510,268,43,3,1510,2,2,0,"OneFam"
136300,1775,0,46,3,533,2,2,0,"OneFam"
180500,1152,86,46,3,1152,2,1,1,"OneFam"
137500,1054,156,47,3,936,2,1,0,"OneFam"
84900,1728,144,9,6,1728,0,2,0,"Duplex"
142125,1078,0,14,2,1078,1,1,0,"OneFam"
197600,2461,265,8,3,1140,2,2,2,"OneFam"
172500,1556,340,60,3,782,2,2,1,"OneFam"
116500,858,0,2,2,858,0,1,0,"OneFam"
76500,1306,0,44,3,728,0,1,0,"OneFam"
128000,1063,110,56,3,1056,1,1,0,"OneFam"
153000,1520,164,38,3,1156,1,1,2,"OneFam"
132000,1268,200,56,2,1268,1,1,1,"OneFam"
178000,1128,216,2,2,1080,1,1,1,"OneFam"
154300,2274,361,50,5,1105,2,2,0,"Duplex"
180000,2207,287,21,3,1947,2,2,1,"OneFam"
190000,1888,0,8,2,1517,2,2,1,"OneFam"
135000,1604,0,52,4,1604,2,2,0,"Duplex"
214000,1480,506,1,3,1480,2,2,0,"OneFam"
136000,1143,150,51,3,1143,1,1,0,"OneFam"
165500,1700,0,51,4,1398,2,1,1,"OneFam"
145000,1314,0,53,3,1314,1,1,0,"OneFam"
148000,1194,220,51,3,1194,1,1,0,"OneFam"
142000,1188,180,51,3,1188,2,1,0,"OneFam"
167500,1264,324,50,3,1268,2,1,2,"OneFam"
108538,1206,91,51,3,1206,1,1,0,"OneFam"
159500,1580,432,51,3,1244,2,1,2,"OneFam"
108000,1337,0,54,3,832,1,1,0,"OneFam"
135000,1064,0,58,2,864,1,1,0,"OneFam"
122500,972,0,55,3,972,1,1,0,"OneFam"
119000,988,0,52,2,988,1,1,0,"TwoFmCon"
109000,1057,0,3,3,1057,1,1,0,"OneFam"
105000,985,0,16,2,576,2,1,0,"OneFam"
107500,827,0,3,2,0,1,1,1,"OneFam"
144900,1086,104,7,3,1086,2,1,0,"OneFam"
129000,936,0,10,2,936,1,1,0,"OneFam"
97500,1458,0,60,3,912,1,1,1,"OneFam"
144000,1056,0,30,0,1056,2,0,0,"Duplex"
162000,1287,0,4,3,1063,2,1,1,"OneFam"
242000,2978,300,3,5,710,2,2,1,"OneFam"
132000,1224,0,6,3,816,1,1,0,"OneFam"
154000,1246,0,16,3,1246,1,1,0,"OneFam"
166000,1385,0,58,4,910,2,2,0,"OneFam"
134800,900,0,10,3,900,2,1,0,"OneFam"
160000,1116,261,48,3,1116,2,1,0,"OneFam"
148000,1175,0,50,3,1175,2,1,0,"OneFam"
192000,1395,218,26,2,1395,2,1,1,"OneFam"
155000,1839,351,44,4,756,2,1,1,"OneFam"
80400,1844,771,56,3,709,1,1,2,"OneFam"
96500,1140,0,6,3,576,0,1,0,"OneFam"
109500,936,0,60,2,936,0,1,1,"OneFam"
115000,1028,0,60,2,1008,2,1,1,"OneFam"
143000,1347,0,53,3,1347,2,1,0,"OneFam"
107400,1605,0,60,3,840,1,2,0,"OneFam"
80000,747,0,60,2,747,1,1,0,"OneFam"
119000,804,294,18,2,788,1,1,2,"OneFam"
130000,1316,0,9,3,926,2,1,0,"OneFam"
119000,1251,0,10,3,827,1,1,0,"OneFam"
129000,1633,0,1,3,1027,1,1,1,"OneFam"
100000,1245,0,48,3,1008,1,1,0,"OneFam"
12789,832,0,40,2,678,2,1,1,"OneFam"
105900,720,0,7,2,624,2,1,0,"OneFam"
150000,1566,0,7,3,930,1,2,0,"OneFam"
139000,1652,0,60,4,686,1,2,0,"OneFam"
240000,2268,0,8,3,346,2,3,0,"OneFam"
76500,2256,0,60,4,840,0,2,0,"TwoFmCon"
149700,1236,0,14,2,912,2,1,0,"OneFam"
125500,1363,0,60,3,622,2,1,0,"OneFam"
122500,2290,0,60,4,777,2,2,0,"TwoFmCon"
140750,1470,0,16,2,738,2,1,0,"OneFam"
128500,1612,0,13,3,988,1,1,0,"OneFam"
209500,2068,0,5,3,1108,1,1,1,"OneFam"
87000,765,0,60,2,765,1,1,0,"OneFam"
134000,1132,0,60,2,608,1,1,0,"OneFam"
128000,1196,0,60,3,572,2,1,2,"OneFam"
132000,1453,300,60,3,835,1,1,2,"OneFam"
139900,1416,0,60,3,780,1,1,0,"OneFam"
123900,1040,0,30,2,528,2,1,0,"OneFam"
138400,1536,0,60,4,928,2,2,1,"OneFam"
109500,1068,0,60,2,1124,1,1,1,"OneFam"
140000,1710,0,60,3,576,2,2,0,"OneFam"
149500,1962,0,60,4,888,2,1,1,"OneFam"
159900,1560,0,1,3,780,0,1,0,"OneFam"
122000,1324,0,17,3,662,1,1,0,"OneFam"
110000,816,0,47,2,816,2,1,0,"Duplex"
55000,1092,0,60,3,0,0,2,0,"TwoFmCon"
140000,1812,0,14,4,360,2,2,1,"TwoFmCon"
244400,2403,0,60,4,1032,1,2,2,"OneFam"
173000,1675,90,51,3,1422,1,2,2,"OneFam"
107500,1224,0,60,3,689,1,1,0,"OneFam"
100000,1392,0,60,3,1212,0,1,0,"TwoFmCon"
95000,919,0,60,3,600,1,1,0,"OneFam"
93369,1884,0,60,4,707,0,1,0,"OneFam"
114900,1680,0,60,2,856,2,2,1,"TwoFmCon"
94000,1020,0,14,2,780,0,1,0,"OneFam"
136000,1832,72,43,4,1832,0,2,0,"Duplex"
136500,1768,0,42,4,1768,0,2,0,"Duplex"
131500,1039,0,45,3,1039,2,1,0,"TwoFmCon"
121500,1392,180,14,3,1392,2,1,1,"OneFam"
125000,912,0,43,3,912,1,1,1,"OneFam"
154000,1060,0,9,3,1060,1,1,1,"OneFam"
137900,892,47,2,3,864,1,1,0,"OneFam"
158000,1352,143,41,4,663,1,1,0,"OneFam"
137250,864,0,42,2,864,1,1,0,"OneFam"
160250,1373,0,32,3,1319,2,1,2,"Duplex"
163000,1440,0,42,4,720,2,1,2,"OneFam"
158900,1386,328,32,3,672,2,2,1,"OneFam"
328000,2260,0,13,3,1306,2,2,0,"OneFam"
270000,1483,0,9,1,1420,2,1,2,"OneFam"
85000,756,0,60,2,660,2,1,0,"OneFam"
128000,1067,0,15,2,1067,2,2,0,"OneFam"
260000,1524,0,31,0,1332,2,0,1,"OneFam"
230000,1981,288,18,4,1117,2,2,1,"OneFam"
124000,1610,0,20,4,972,1,2,1,"OneFam"
83000,835,0,60,2,458,1,1,0,"OneFam"
144500,1074,0,23,3,663,1,1,1,"OneFam"
129000,1144,0,54,3,1144,1,1,0,"OneFam"
127000,1531,0,31,3,756,1,1,1,"OneFam"
128000,1172,0,12,3,1172,1,1,0,"OneFam"
186000,1212,0,1,3,1212,2,2,0,"OneFam"
308030,1508,96,0,1,1508,2,1,2,"OneFam"
114000,1298,0,46,3,1250,2,2,0,"OneFam"
84900,930,0,4,2,0,1,1,0,"OneFam"
178000,1732,336,25,3,741,2,2,1,"OneFam"
270000,1433,177,23,1,1433,2,1,2,"OneFam"
218000,1802,85,17,3,946,4,2,1,"OneFam"
236000,1949,246,16,3,1050,2,2,1,"OneFam"
147000,996,0,18,2,936,2,1,0,"OneFam"
245350,1694,72,2,3,1694,3,2,0,"OneFam"
206000,1208,24,4,2,1187,2,2,0,"OneFam"
198900,1226,0,1,3,1226,3,2,0,"OneFam"
187000,1222,80,0,2,1222,2,2,0,"OneFam"
320000,3222,0,20,5,1673,3,3,2,"OneFam"
138500,1445,0,17,3,676,2,2,0,"OneFam"
155000,1052,80,39,3,1010,2,1,0,"OneFam"
159000,965,0,14,2,870,2,1,0,"OneFam"
191000,1692,0,12,3,878,2,2,1,"OneFam"
200500,1682,116,12,3,804,2,2,0,"OneFam"
150000,1026,0,6,3,1026,1,1,0,"OneFam"
161750,1392,153,33,3,689,1,1,0,"OneFam"
128200,894,0,34,3,894,1,1,0,"OneFam"
127000,876,0,38,3,876,2,1,0,"OneFam"
318000,1978,320,7,3,1978,3,2,1,"OneFam"
272000,1601,479,8,3,1581,2,2,1,"OneFam"
237000,1829,223,7,3,941,2,2,1,"OneFam"
240000,2098,0,13,4,1040,2,2,1,"OneFam"
224900,1661,442,12,3,1649,2,2,0,"OneFam"
143750,848,170,7,1,848,2,1,0,"TwnhsE"
143000,848,169,6,1,848,2,1,0,"TwnhsE"
232000,1668,171,7,3,1657,2,2,1,"OneFam"
213000,1484,109,5,3,1473,2,2,0,"OneFam"
185500,1414,98,6,3,1414,2,2,0,"OneFam"
84900,640,0,3,2,0,1,1,0,"OneFam"
155891,992,0,56,3,381,1,1,0,"OneFam"
100000,1664,0,45,4,0,0,2,0,"Duplex"
144000,1196,0,42,3,1196,1,1,0,"OneFam"
64000,1120,0,60,2,744,2,1,0,"OneFam"
125200,1096,0,35,3,1008,1,1,1,"OneFam"
107000,1117,0,34,3,1029,2,1,1,"OneFam"
90000,960,0,52,3,960,0,1,0,"OneFam"
140000,1121,0,6,2,1121,2,2,0,"OneFam"
113000,1487,0,60,3,735,1,1,1,"OneFam"
80000,924,0,60,2,672,1,1,0,"TwoFmCon"
144500,1526,145,8,4,1216,1,1,1,"OneFam"
104000,1296,203,11,2,1107,1,2,1,"OneFam"
128000,1647,0,60,4,806,1,1,0,"OneFam"
58500,864,0,60,2,864,1,1,0,"OneFam"
127000,1691,0,60,3,1026,1,2,1,"OneFam"
126000,856,0,60,2,856,2,1,1,"OneFam"
160000,2650,0,43,6,0,0,3,0,"Duplex"
100000,1666,0,60,3,894,0,1,1,"OneFam"
169000,2447,0,20,4,804,1,2,1,"OneFam"
257500,2133,371,25,4,1528,1,1,2,"OneFam"
215000,2177,430,19,5,1032,2,2,0,"Duplex"
266500,2340,0,4,4,1152,1,2,2,"OneFam"
335000,1902,0,8,3,1902,2,2,2,"OneFam"
203135,1652,44,3,3,423,2,2,0,"OneFam"
185000,1034,0,21,1,982,2,1,1,"TwnhsE"
162500,1191,0,21,2,1191,2,2,1,"TwnhsE"
289000,1801,0,13,1,1501,2,2,2,"OneFam"
125500,1154,0,3,3,796,1,1,0,"OneFam"
82000,540,0,60,1,480,1,1,0,"OneFam"
110000,1107,0,35,2,629,1,1,0,"OneFam"
68400,1128,0,60,2,698,2,1,0,"OneFam"
102776,1178,0,60,2,859,1,1,0,"OneFam"
55993,1044,0,58,2,540,2,1,0,"OneFam"
50138,952,0,60,3,756,1,1,0,"OneFam"
246000,1646,186,5,2,1594,2,2,1,"TwnhsE"
254900,1916,0,11,3,1049,3,2,1,"OneFam"
190000,1285,0,33,3,1243,2,2,1,"OneFam"
201000,1560,0,7,3,1560,2,2,0,"OneFam"
169900,1034,335,34,3,1012,3,1,0,"OneFam"
170000,2048,0,34,5,1958,2,3,0,"Duplex"
160000,1687,0,60,3,747,2,1,2,"OneFam"
220000,1346,60,2,3,1336,3,2,1,"OneFam"
179781,1214,0,0,2,1214,2,2,0,"OneFam"
174000,1444,0,3,3,384,2,2,0,"OneFam"
269500,1968,84,0,4,774,3,2,1,"OneFam"
214900,1894,44,7,4,817,2,2,1,"OneFam"
202900,1908,0,8,4,967,2,2,0,"OneFam"
378500,2018,0,1,3,2002,3,2,1,"OneFam"
169000,1264,0,33,2,1068,2,1,1,"OneFam"
173500,1430,0,5,3,1430,2,2,0,"OneFam"
139000,1824,0,39,4,912,0,2,0,"Duplex"
166500,1344,0,11,3,1344,2,2,1,"OneFam"
83500,1092,0,37,3,546,1,1,0,"TwnhsE"
119500,945,0,37,2,945,1,1,1,"Twnhs"
85000,1112,0,34,3,536,1,1,0,"TwnhsE"
76000,1092,0,40,3,546,0,1,0,"Twnhs"
75500,630,0,38,1,630,0,1,0,"TwnhsE"
88250,1092,0,40,3,546,0,1,0,"TwnhsE"
85500,1092,0,38,3,546,1,1,0,"TwnhsE"
130000,874,0,6,3,864,1,1,0,"OneFam"
157900,1188,189,48,3,1188,1,1,0,"OneFam"
149900,833,0,26,2,833,2,1,0,"OneFam"
159000,2432,0,24,4,1216,2,4,0,"Duplex"
136000,1274,0,19,3,624,2,1,0,"OneFam"
161000,1479,0,41,5,864,1,2,0,"OneFam"
285000,1803,0,15,3,1679,2,2,2,"OneFam"
231000,1797,0,16,3,1152,2,2,1,"OneFam"
124500,882,0,53,2,882,1,1,0,"OneFam"
157000,1434,440,35,4,1434,2,2,1,"OneFam"
345000,2704,0,14,4,1952,2,2,3,"OneFam"
189500,1608,0,12,3,945,2,2,1,"OneFam"
270000,2283,188,6,4,1008,3,2,1,"OneFam"
189000,1628,32,12,3,384,2,2,1,"OneFam"
377500,1746,160,2,3,1746,3,2,2,"OneFam"
168500,1474,22,13,3,384,2,2,1,"OneFam"
375000,2522,0,4,1,2208,2,2,1,"TwnhsE"
278000,1659,0,9,2,1501,2,2,1,"TwnhsE"
240000,1478,0,11,2,1418,2,2,0,"OneFam"
239500,1734,0,13,2,1587,2,2,0,"TwnhsE"
177500,1382,0,11,3,384,2,2,1,"OneFam"
185000,1718,40,11,3,832,2,2,1,"OneFam"
191000,1636,0,10,3,952,2,2,1,"OneFam"
178000,1571,0,15,3,799,2,2,1,"OneFam"
185000,1470,68,16,3,680,2,2,1,"OneFam"
181316,1516,0,14,3,707,2,2,1,"OneFam"
166000,1190,45,16,3,1181,2,2,1,"OneFam"
178000,1593,0,16,3,808,2,2,1,"OneFam"
174000,1481,0,14,3,702,2,2,1,"OneFam"
173000,1167,106,17,3,1158,2,2,0,"OneFam"
225000,1983,344,10,3,978,2,2,1,"OneFam"
180500,1442,0,19,3,1424,2,2,0,"OneFam"
187500,1360,0,25,1,1220,2,1,1,"TwnhsE"
501837,2234,748,0,1,2216,3,2,1,"OneFam"
372500,2046,464,1,3,2046,3,2,1,"OneFam"
260000,1530,16,4,3,1530,2,2,1,"OneFam"
185000,1934,157,32,3,1122,2,2,1,"OneFam"
260000,2353,278,29,4,845,2,2,1,"OneFam"
181000,1586,0,11,3,1362,2,2,1,"OneFam"
82500,1411,209,32,3,1386,2,2,1,"OneFam"
215000,1602,126,9,3,1602,2,2,1,"OneFam"
154000,2050,256,31,4,832,2,2,1,"OneFam"
200000,1671,101,23,3,1427,2,2,1,"OneFam"
249000,2673,229,18,4,1043,2,2,1,"OneFam"
187500,1472,225,29,3,1372,2,2,2,"OneFam"
184000,1707,144,11,3,1140,2,2,1,"OneFam"
278000,2524,0,28,4,2524,2,2,1,"OneFam"
157000,1601,206,31,3,1271,2,2,1,"OneFam"
152000,1370,189,33,3,1090,2,2,1,"OneFam"
197500,1868,44,33,4,780,2,2,1,"OneFam"
240900,1884,0,6,3,926,2,2,1,"OneFam"
263435,1935,110,0,3,832,2,2,0,"OneFam"
220000,1874,0,8,3,1058,2,2,1,"OneFam"
235000,1811,0,7,3,972,2,2,1,"OneFam"
213000,1621,161,34,3,1621,2,2,2,"OneFam"
167900,1116,196,35,3,1116,2,2,1,"OneFam"
158000,1193,0,34,3,1176,2,2,1,"OneFam"
165000,1350,174,35,3,1064,2,2,1,"OneFam"
158000,2119,333,37,3,689,2,2,1,"OneFam"
136000,1792,0,35,4,896,0,2,0,"Duplex"
148500,1002,76,39,3,1002,2,1,0,"OneFam"
156000,1026,0,4,3,1026,2,1,0,"OneFam"
128000,1180,0,39,2,1180,2,1,0,"OneFam"
143000,1050,178,38,3,1043,1,1,0,"OneFam"
76500,864,0,39,3,864,2,1,0,"OneFam"
120500,864,0,39,3,864,2,1,0,"OneFam"
124500,864,0,39,3,864,2,1,0,"OneFam"
97000,864,0,38,2,864,2,1,0,"OneFam"
130000,864,0,3,3,864,2,1,0,"OneFam"
111000,987,504,36,2,483,1,1,0,"Twnhs"
125000,1365,312,39,3,765,2,1,0,"TwnhsE"
112000,1302,142,38,3,630,1,2,0,"Twnhs"
97000,987,425,37,2,483,1,1,0,"Twnhs"
118000,987,510,2,2,483,1,1,0,"Twnhs"
119500,1302,268,37,3,630,1,2,0,"Twnhs"
143750,958,0,33,2,958,2,2,0,"TwnhsE"
146000,1548,0,33,3,804,2,2,1,"TwnhsE"
148500,1456,0,33,3,855,2,2,1,"Twnhs"
123000,1055,0,34,2,1057,2,2,1,"Twnhs"
147000,1322,0,35,3,855,2,2,1,"TwnhsE"
137900,1456,0,32,3,855,2,2,1,"Twnhs"
147000,1548,0,31,3,804,2,2,1,"TwnhsE"
148500,1441,0,31,3,855,2,2,1,"Twnhs"
138000,1456,0,31,3,855,2,2,1,"TwnhsE"
128500,836,0,33,2,836,1,1,0,"TwnhsE"
100000,892,60,42,3,892,1,1,0,"OneFam"
148800,1120,165,5,3,864,2,1,1,"OneFam"
337500,1718,230,2,3,1700,3,2,1,"OneFam"
462000,2772,726,2,4,1776,3,3,3,"OneFam"
485000,3140,860,0,4,1926,3,3,2,"OneFam"
555000,2402,200,1,2,3094,3,2,2,"OneFam"
325000,1652,300,2,2,1652,2,2,2,"OneFam"
256300,1600,640,2,3,1566,3,2,1,"OneFam"
253293,2042,306,0,3,2042,3,2,1,"OneFam"
398800,2690,0,0,3,1365,3,2,1,"OneFam"
335000,2184,154,1,3,1104,3,2,1,"OneFam"
404000,2020,450,1,3,2020,3,2,1,"OneFam"
402861,2020,305,0,3,2006,3,2,1,"OneFam"
451950,2296,420,1,3,1722,3,2,1,"OneFam"
610000,2674,472,2,2,2630,3,2,2,"OneFam"
582933,2822,424,0,4,1734,3,3,1,"OneFam"
360000,1736,302,1,3,1736,3,2,1,"OneFam"
296000,1782,238,4,3,1782,3,2,2,"OneFam"
409900,2520,20,2,5,1508,3,2,1,"OneFam"
255500,1717,250,3,3,1709,3,2,1,"OneFam"
335000,1743,284,1,3,1739,3,2,1,"OneFam"
274900,1713,262,4,3,1713,3,2,1,"OneFam"
300000,1531,122,3,2,1504,3,2,1,"OneFam"
324000,1808,285,1,3,1774,3,2,1,"OneFam"
350000,2224,216,4,4,1462,3,2,1,"OneFam"
280000,1836,42,4,3,1836,3,2,1,"OneFam"
284000,1629,296,5,3,3206,3,2,1,"OneFam"
269500,1760,418,5,3,1760,2,2,1,"OneFam"
233170,1502,268,0,3,1502,2,2,0,"OneFam"
386250,2392,922,6,3,2392,3,2,1,"OneFam"
445000,2452,724,6,3,2452,3,2,1,"OneFam"
290000,2400,186,5,4,1082,3,3,1,"OneFam"
255900,1606,383,3,3,1598,3,2,1,"OneFam"
213000,1358,240,4,2,1358,2,2,1,"TwnhsE"
196000,1306,135,4,1,1306,2,2,1,"Twnhs"
184500,1306,135,4,1,1306,2,2,1,"Twnhs"
212500,1358,176,1,2,1350,2,2,1,"TwnhsE"
230000,1314,166,1,2,1314,2,2,1,"Twnhs"
552000,2492,730,4,2,2492,3,2,1,"OneFam"
382500,2200,470,5,3,2200,3,2,1,"OneFam"
320000,1884,308,0,2,1884,2,2,1,"TwnhsE"
248500,1456,500,1,2,1451,2,2,1,"TwnhsE"
286500,1712,270,6,3,1712,3,2,1,"OneFam"
254000,1324,176,3,2,1324,2,2,1,"TwnhsE"
173000,1405,163,6,2,1405,2,2,1,"TwnhsE"
173000,1626,106,5,2,764,2,2,0,"Twnhs"
184000,1456,0,4,3,728,2,2,1,"OneFam"
167800,1490,0,3,3,745,2,2,1,"OneFam"
174000,1484,0,4,3,742,2,2,1,"OneFam"
174000,1560,0,4,3,684,2,2,1,"OneFam"
174000,1555,130,2,2,1373,3,2,1,"TwnhsE"
175900,1569,130,2,1,1386,3,2,1,"TwnhsE"
192500,1555,16,3,2,1373,2,2,1,"TwnhsE"
181000,1504,16,3,1,1346,2,2,1,"TwnhsE"
180000,1220,16,3,2,1220,2,2,1,"TwnhsE"
160200,1145,11,3,2,1145,2,2,1,"TwnhsE"
188500,1432,0,4,3,716,2,2,1,"OneFam"
200000,2267,0,7,4,1010,2,2,1,"OneFam"
170000,1374,0,4,3,384,2,2,1,"OneFam"
189500,1630,200,4,3,868,2,2,1,"OneFam"
184100,1419,0,7,3,408,2,2,1,"OneFam"
195500,1594,0,5,3,846,2,2,1,"OneFam"
192000,1489,0,6,3,782,2,2,1,"OneFam"
178000,1342,0,6,3,698,2,2,1,"OneFam"
207500,1314,166,1,2,1314,2,2,1,"Twnhs"
236000,2256,0,9,4,952,2,2,1,"OneFam"
257500,2004,0,7,4,870,3,2,1,"OneFam"
244000,2054,40,9,3,992,2,2,1,"OneFam"
167000,1374,0,5,3,384,2,2,0,"OneFam"
179000,1800,16,9,3,982,2,2,1,"OneFam"
190000,1514,0,9,3,794,2,2,1,"OneFam"
156000,1430,0,9,3,384,2,2,1,"OneFam"
245000,2312,210,10,4,1177,3,2,1,"OneFam"
181000,1675,0,10,3,841,2,2,1,"OneFam"
214000,2060,298,10,3,992,2,2,1,"OneFam"
168000,1430,0,10,3,384,2,2,1,"OneFam"
337000,2365,673,10,3,1252,3,2,1,"OneFam"
403000,2794,506,13,4,1462,3,2,1,"OneFam"
327000,2687,150,9,4,1455,3,2,2,"OneFam"
340000,2450,731,11,3,1284,3,2,1,"OneFam"
